.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
IggMs_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.25	1	0.25
IggMs_R1_001_val_1	1	1	0.25	1	0.25	1	1	0.5	0.25	1	1
IggMs_R2_001	1	1	1	1	0.25	0.5	1	1	0.25	1	0.25
IggMs_R2_001_val_2	1	1	1	1	0.25	1	1	0.5	0.25	1	1
IggRb_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.25	1	0.25
IggRb_R1_001_val_1	1	1	0.25	1	0.25	1	1	0.5	0.25	1	1
IggRb_R2_001	1	1	1	1	0.25	0.5	1	1	0.25	1	0.25
IggRb_R2_001_val_2	1	1	1	1	0.25	1	1	0.5	0.25	1	1
TEAD1-1_R1_001	1	0.5	0.25	1	0.25	0.5	1	1	0.25	1	0.25
TEAD1-1_R1_001_val_1	1	1	0.25	1	0.25	1	1	0.5	0.25	1	1
TEAD1-1_R2_001	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	0.25
TEAD1-1_R2_001_val_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
TEAD1-2_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.25	1	0.25
TEAD1-2_R1_001_val_1	1	1	0.25	1	0.25	1	1	0.5	0.25	1	1
TEAD1-2_R2_001	1	1	1	1	0.25	0.5	1	1	0.25	1	0.25
TEAD1-2_R2_001_val_2	1	1	1	1	0.25	1	1	0.5	0.25	1	1
TEAD1-3_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.25	1	0.25
TEAD1-3_R1_001_val_1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	1	1
TEAD1-3_R2_001	1	1	1	1	0.25	0.5	1	1	0.25	1	0.25
TEAD1-3_R2_001_val_2	1	1	1	1	0.25	0.5	1	0.5	0.25	1	1
TES-1_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.25	1	0.25
TES-1_R1_001_val_1	1	1	0.25	1	0.25	1	1	0.5	0.25	1	1
TES-1_R2_001	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	0.25
TES-1_R2_001_val_2	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
TES-2_R1_001	1	0.5	0.25	1	0.25	0.5	1	1	0.25	1	0.25
TES-2_R1_001_val_1	1	1	0.25	1	0.25	1	1	0.5	0.25	1	1
TES-2_R2_001	1	1	0.5	1	0.25	0.5	1	1	0.25	1	0.25
TES-2_R2_001_val_2	1	1	1	1	0.25	1	1	0.5	0.25	1	1
TES-3_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.25	1	0.25
TES-3_R1_001_val_1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	1	1
TES-3_R2_001	1	1	0.5	1	0.25	1	1	1	0.25	1	0.25
TES-3_R2_001_val_2	1	1	1	1	0.25	0.5	1	0.5	0.25	1	1
TESmut-1_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.25	1	0.25
TESmut-1_R1_001_val_1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	1	1
TESmut-1_R2_001	1	1	0.5	1	0.25	0.5	1	1	0.25	1	0.25
TESmut-1_R2_001_val_2	1	1	1	1	0.25	0.5	1	0.5	0.25	1	1
TESmut-2_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.25	1	0.25
TESmut-2_R1_001_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	1	1
TESmut-2_R2_001	1	1	0.5	1	0.25	0.5	1	1	0.25	1	0.25
TESmut-2_R2_001_val_2	1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
TESmut-3_R1_001	1	0.5	0.25	1	0.25	1	1	1	0.25	0.5	0.25
TESmut-3_R1_001_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	1	1
TESmut-3_R2_001	1	1	0.5	1	0.25	1	1	1	0.25	0.5	0.25
TESmut-3_R2_001_val_2	1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
