"","seqnames","start","end","width","strand","Conc","Conc_TES","Conc_TEAD1","Fold","p.value","FDR"
"8014","17",19327025,19327425,401,"*",8.37988090212299,3.96802342523322,9.34558878004888,-5.37756535481566,5.29473743131938e-69,1.3564058351554e-64
"7068","15",63107963,63108363,401,"*",9.48048314231007,6.41154663660298,10.3918544676903,-3.98030783108727,2.292644037375e-62,2.93664774747364e-58
"23194","8",121129846,121130246,401,"*",8.77964183763533,5.15125526661769,9.72009996740245,-4.56884470078476,7.58491229389739e-59,6.47700943816878e-55
"9576","2",7191911,7192311,401,"*",8.00557594759369,3.87833244811687,8.96369574242177,-5.08536329430489,1.88644901482754e-56,1.01269364193115e-52
"5682","13",44719949,44720349,401,"*",8.30251517466373,4.39638684075282,9.25357928211192,-4.8571924413591,1.97652752348182e-56,1.01269364193115e-52
"15665","4",76590200,76590600,401,"*",8.08498537637763,4.11541281133761,9.03818939170246,-4.92277658036485,2.76342881192215e-56,1.17989198839703e-52
"1930","1",231139971,231140371,401,"*",8.03396651825686,3.62540103019632,8.9995951173225,-5.37419408712618,9.67378931617099e-56,3.54033049573812e-52
"25105","X",46325422,46325822,401,"*",8.83340530984933,5.73409157139451,9.74667992734117,-4.01258835594666,2.06303668548735e-55,6.60635922610187e-52
"11939","2",234996422,234996822,401,"*",8.60248146530412,4.60173262979759,9.55670192520492,-4.95496929540733,1.35737078165131e-53,3.86368052048259e-50
"8395","17",66467006,66467406,401,"*",8.05109015190047,4.02574786469495,9.00609658976355,-4.98034872506861,6.87948108745127e-53,1.76238546498327e-49
"7894","17",694220,694620,401,"*",8.57478072429717,5.12063556269742,9.50741430856212,-4.3867787458647,1.08230687385649e-52,2.52059431767777e-49
"21856","7",141585984,141586384,401,"*",8.74162230163711,5.44290062818576,9.6663899276789,-4.22348929949314,4.64979831197391e-52,9.92654442967896e-49
"12903","21",43586021,43586421,401,"*",8.32612904813721,4.89060928571283,9.25786624667495,-4.36725696096212,1.25063653374729e-51,2.46452359396447e-48
"9475","19",47122384,47122784,401,"*",7.83103571147879,3.86427333799629,8.78414698628601,-4.91987364828972,5.62509521359621e-51,1.02931206558506e-47
"6366","14",54652183,54652583,401,"*",7.98615919450876,4.37680329137375,8.92580993347283,-4.54900664209908,8.24092527298163e-50,1.37224201744213e-46
"7293","15",87369211,87369611,401,"*",8.1980573286575,4.59448041591857,9.13746068347055,-4.54298026755198,8.57048648570308e-50,1.37224201744213e-46
"3506","11",33557316,33557716,401,"*",7.95049017426997,4.55406628684578,8.88030586310566,-4.32623957625988,6.16945431844861e-48,9.2970047488245e-45
"3113","10",103231195,103231595,401,"*",8.27017475002404,5.11976649184833,9.18655628236015,-4.06678979051182,1.11195895620795e-47,1.58256469667418e-44
"343","1",54934880,54935280,401,"*",7.62069391983786,3.53685535458274,8.57751522914328,-5.04065987456053,1.27903512167427e-46,1.72454324984481e-43
"15978","4",123986378,123986778,401,"*",7.73993723868159,3.40646279515006,8.70370621116855,-5.29724341601849,1.92821854148267e-46,2.46985512978515e-43
"7001","15",57356639,57357039,401,"*",7.47202503977265,2.33917074762568,8.45131817228331,-6.11214742465762,2.16338359608644e-46,2.5385473799531e-43
"881","1",103265586,103265986,401,"*",8.1769755072656,4.91448224984226,9.09977790743034,-4.18529565758808,2.18003132012523e-46,2.5385473799531e-43
"11694","2",221779737,221780137,401,"*",8.07540289798643,4.22043566724625,9.0246690739488,-4.80423340670255,2.84682465162853e-46,3.17086756197477e-43
