"","seqnames","start","end","width","strand","Conc","Conc_TES","Conc_TEAD1","Fold","p.value","FDR"
"8012","17",19327025,19327425,401,"*",8.37988090212299,3.96802342523322,9.34558878004888,-5.37756535481566,5.08853687937571e-69,1.30347960702088e-64
"7066","15",63107963,63108363,401,"*",9.48048314231007,6.41154663660298,10.3918544676903,-3.98030783108727,1.53528898160036e-62,1.96639812763374e-58
"23192","8",121129846,121130246,401,"*",8.77964183763533,5.15125526661769,9.72009996740245,-4.56884470078476,6.57258479808133e-59,5.61211107292171e-55
"9574","2",7191911,7192311,401,"*",8.00557594759369,3.87833244811687,8.96369574242177,-5.08536329430489,1.9290238943898e-56,9.90824782838098e-53
"5680","13",44719949,44720349,401,"*",8.30251517466373,4.39638684075282,9.25357928211192,-4.8571924413591,1.93399590653907e-56,9.90824782838098e-53
"15663","4",76590200,76590600,401,"*",8.08498537637763,4.11541281133761,9.03818939170246,-4.92277658036485,2.79873769941974e-56,1.19487441513893e-52
"1928","1",231139971,231140371,401,"*",8.03396651825686,3.62540103019632,8.9995951173225,-5.37419408712618,9.83628215208701e-56,3.59951719439801e-52
"25103","X",46325422,46325822,401,"*",8.83340530984933,5.73409157139451,9.74667992734117,-4.01258835594666,1.7630609399452e-55,5.64532112970452e-52
"11937","2",234996422,234996822,401,"*",8.60248146530412,4.60173262979759,9.55670192520492,-4.95496929540733,1.25807533681542e-53,3.58076198087376e-50
"8393","17",66467006,66467406,401,"*",8.05109015190047,4.02574786469495,9.00609658976355,-4.98034872506861,6.98920436124064e-53,1.7903545891754e-49
"7892","17",694220,694620,401,"*",8.57478072429717,5.12063556269742,9.50741430856212,-4.3867787458647,1.00290884910685e-52,2.33550118897465e-49
"21854","7",141585984,141586384,401,"*",8.74162230163711,5.44290062818576,9.6663899276789,-4.22348929949314,4.14631682212888e-52,8.85100430963778e-49
"12901","21",43586021,43586421,401,"*",8.32612904813721,4.89060928571283,9.25786624667495,-4.36725696096212,1.2218317905072e-51,2.40757254966403e-48
"9473","19",47122384,47122784,401,"*",7.83103571147879,3.86427333799629,8.78414698628601,-4.91987364828972,5.83167126262493e-51,1.06702922188143e-47
"6364","14",54652183,54652583,401,"*",7.98615919450876,4.37680329137375,8.92580993347283,-4.54900664209908,8.42674052743288e-50,1.36758689336037e-46
"7291","15",87369211,87369611,401,"*",8.1980573286575,4.59448041591857,9.13746068347055,-4.54298026755198,8.54207928394987e-50,1.36758689336037e-46
"3504","11",33557316,33557716,401,"*",7.95049017426997,4.55406628684578,8.88030586310566,-4.32623957625988,6.33066843186815e-48,9.53920015004321e-45
"3111","10",103231195,103231595,401,"*",8.27017475002404,5.11976649184833,9.18655628236015,-4.06678979051182,1.09687583187451e-47,1.56097618384986e-44
"341","1",54934880,54935280,401,"*",7.62069391983786,3.53685535458274,8.57751522914328,-5.04065987456053,1.33451772451364e-46,1.79921084374428e-43
"15976","4",123986378,123986778,401,"*",7.73993723868159,3.40646279515006,8.70370621116855,-5.29724341601849,1.99523951527454e-46,2.55550277116363e-43
"879","1",103265586,103265986,401,"*",8.1769755072656,4.91448224984226,9.09977790743034,-4.18529565758808,2.17933820962784e-46,2.62881472407939e-43
"6999","15",57356639,57357039,401,"*",7.47202503977265,2.33917074762568,8.45131817228331,-6.11214742465762,2.25772657439673e-46,2.62881472407939e-43
"11692","2",221779737,221780137,401,"*",8.07540289798643,4.22043566724625,9.0246690739488,-4.80423340670255,2.87765489288779e-46,3.20495685809625e-43
"1651","1",207007355,207007755,401,"*",7.98388924499783,4.48644713409597,8.91856033132673,-4.43211319723075,3.09194006868786e-46,3.30013069997951e-43
"12236","20",13643996,13644396,401,"*",7.89384294731641,4.01711300182711,8.84388199403872,-4.82676899221161,1.0341404194435e-45,1.05962163937858e-42
"24604","9",127524388,127524788,401,"*",8.55314395502717,5.29878260517058,9.47549803848303,-4.17671543331245,3.4157108377952e-45,3.24436962247432e-42
"12574","20",60512492,60512892,401,"*",7.7210975955308,3.61949729126464,8.6784551264149,-5.05895783515026,3.41965879945373e-45,3.24436962247432e-42
"5775","13",59448247,59448647,401,"*",7.92109662635795,4.71852394712704,8.84053210265089,-4.12200815552385,2.09845118891017e-44,1.91978305911153e-41
"9883","2",36655500,36655900,401,"*",7.74997385482982,4.50443639244124,8.6718384460468,-4.16740205360556,7.6623972991613e-44,6.76827480052813e-41
"7250","15",83733281,83733681,401,"*",7.71201893749778,3.54392883545582,8.67132449299641,-5.12739565754059,7.93270467473432e-44,6.77347209826648e-41
"146","1",23196921,23197321,401,"*",7.74841744367677,4.49019710107408,8.67098460804827,-4.18078750697419,1.6297214729878e-43,1.34667565329211e-40
"21962","8",6594081,6594481,401,"*",8.16852895832796,4.75456422982314,9.09921351608658,-4.34464928626344,2.64076443566657e-43,2.11393193075109e-40
"16770","5",37771678,37772078,401,"*",8.55062821602753,4.95891880169024,9.48952030089481,-4.53060149920457,3.9252473811576e-43,3.04694354290101e-40
"4275","11",126992110,126992510,401,"*",7.8492448425549,4.16877236496016,8.79185684770405,-4.62308448274389,6.30026970842804e-43,4.74669731914978e-40
"5065","12",81888301,81888701,401,"*",7.55968108031541,3.61766505184732,8.5119675797667,-4.89430252791939,8.97123186259331e-43,6.56591643977686e-40
"4324","11",129861753,129862153,401,"*",7.70390469978322,4.39824503612976,8.62904278222595,-4.23079774609619,3.59892212474876e-42,2.50045980921336e-39
"24018","9",71793741,71794141,401,"*",8.14056961947552,5.00038993738147,9.0563384881215,-4.05594855074002,3.61168851268326e-42,2.50045980921336e-39
"10050","2",47076810,47077210,401,"*",8.10608780767103,4.47573746271909,9.04662862195662,-4.57089115923752,8.11576504261821e-42,5.47087992978179e-39
"16494","5",5069863,5070263,401,"*",7.83917238984217,4.72588477722095,8.75330835035916,-4.02742357313821,8.75133884061604e-42,5.7480588651595e-39
"19154","6",71469089,71469489,401,"*",7.21472604873049,3.12572535458371,8.17170390286083,-5.04597854827712,1.17779767067376e-41,7.54261628299478e-39
"24356","9",97768695,97769095,401,"*",7.23055358682454,3.14635692258769,8.18738577434726,-5.04102885175957,8.6667823360549e-41,5.41483649561908e-38
"24546","9",118643127,118643527,401,"*",7.69236795232286,3.75513619681535,8.64449330239374,-4.88935710557839,9.41097736617035e-41,5.73979990980523e-38
"18386","5",171667814,171668214,401,"*",7.37566069057149,3.40997521180494,8.32873637675785,-4.91876116495291,1.79528048874476e-40,1.06948616278339e-37
"24251","9",87280481,87280881,401,"*",7.48880745419231,3.48937277785839,8.44298552464316,-4.95361274678477,3.56217660912312e-40,2.07383445498404e-37
"19228","6",80425019,80425419,401,"*",7.33357713851911,3.66912502080281,8.27553526507959,-4.60641024427679,1.95677234545594e-39,1.11388178669332e-36
"13857","3",101036271,101036671,401,"*",7.89230090992895,4.6956271460769,8.81139686779626,-4.11576972171936,4.00612721661484e-39,2.23089032132187e-36
"8730","18",22551782,22552182,401,"*",8.05544345714879,4.08886265393281,9.00854873344556,-4.91968607951276,1.23026246450609e-38,6.70519218952937e-36
"24175","9",81559725,81560125,401,"*",7.25373267208416,3.34525093682639,8.20487790720047,-4.85962697037409,2.13046495495859e-38,1.1369581309629e-35
"8630","18",9808413,9808813,401,"*",8.35033371653826,5.72976942204625,9.22799621643329,-3.49822679438704,2.91814669674181e-38,1.52553562823955e-35
"19311","6",88359935,88360335,401,"*",8.48704832329496,6.06293707967698,9.34596473265829,-3.28302765298131,4.61031127109403e-38,2.36195467040689e-35
"8548","18",3081646,3082046,401,"*",7.99517079838502,5.31757154438144,8.87777378544979,-3.56020224106835,6.52317731689682e-38,3.27642568920841e-35
"9956","2",40434878,40435278,401,"*",7.43537589417027,3.93943019236054,8.36997762402415,-4.43054743166361,7.65034705804536e-38,3.76867865844019e-35
"6840","15",39213425,39213825,401,"*",8.66702182031477,6.0104397101898,9.54782890158979,-3.53738919139999,8.18088278926355e-38,3.95399044395802e-35
"25202","X",80765242,80765642,401,"*",7.6139127891188,4.06558931793215,8.55089793989009,-4.48530862195795,1.06524099462933e-37,5.05318765156017e-35
"7113","15",66774317,66774717,401,"*",8.02913071527567,4.85307437638908,8.94702841179021,-4.09395403540113,1.15852117734614e-37,5.39575972343615e-35
"7277","15",86750905,86751305,401,"*",7.73338524289723,4.84502070632111,8.63251713144413,-3.78749642512303,2.73465868789756e-37,1.25091101694971e-34
"15527","4",56302757,56303157,401,"*",7.85235128656493,5.06156379589713,8.74415374953311,-3.68258995363598,3.08690758091581e-37,1.38726709811824e-34
"14810","3",187519567,187519967,401,"*",7.05789953107263,2.47145178497598,8.0275574663879,-5.55610568141192,4.65272885498437e-37,2.05490176464275e-34
"16916","5",56278461,56278861,401,"*",7.59794036766927,4.62001757463843,8.50334706753891,-3.88332949290048,4.98726025924931e-37,2.16531625086323e-34
"24013","9",71663770,71664170,401,"*",8.23723228111203,5.1287275943075,9.1510744207397,-4.02234682643221,7.20464284973697e-37,3.07590218731437e-34
"7779","16",69917803,69918203,401,"*",7.2617734813073,3.5874853500001,8.20413396460315,-4.61664861460305,9.46534445788677e-37,3.97482399398734e-34
"2899","10",77991825,77992225,401,"*",7.70403208603282,4.74169484146695,8.60837652480554,-3.86668168333859,1.04551526197488e-36,4.31966434689491e-34
"14256","3",140629725,140630125,401,"*",6.98694453931565,2.93185914934975,7.94288324886842,-5.01102409951867,1.34287745250276e-36,5.46018235290646e-34
"2001","1",236980512,236980912,401,"*",7.05602911132756,2.98854668807138,8.01235058127063,-5.02380389319925,1.36979849556419e-36,5.48261847849566e-34
"24454","9",109345614,109346014,401,"*",7.83826627035092,4.86447001946838,8.7433929102544,-3.87892289078602,3.99785836207713e-36,1.57552522773797e-33
"12576","20",61186176,61186576,401,"*",7.46239718967072,4.04874217658071,8.39306650191862,-4.34432432533791,4.22855870705319e-36,1.64119333090719e-33
"13934","3",106728388,106728788,401,"*",7.51319346429313,4.11671066481097,8.443012089879,-4.32630142506802,8.16408132157177e-36,3.12135980796093e-33
"25481","X",140132961,140133361,401,"*",7.55472432773588,4.48661935363963,8.46604295200021,-3.97942359836058,9.70660078716543e-36,3.65653361417691e-33
"4003","11",103633393,103633793,401,"*",8.19028774808477,5.52513665183568,9.07183047613156,-3.54669382429588,1.01877161864692e-35,3.78215272221151e-33
"7001","15",57551695,57552095,401,"*",7.42641849241374,3.38335811322388,8.38198267380061,-4.99862456057673,1.05560703167577e-35,3.86291853191521e-33
"16528","5",9359160,9359560,401,"*",8.35456114598477,5.64211621778437,9.24007986791935,-3.59796365013498,1.84017090809668e-35,6.61239400539325e-33
