"","seqnames","start","end","width","strand","Conc","Conc_TES","Conc_TESmut","Fold","p.value","FDR"
"25492","X",140723281,140723681,401,"*",9.19502744499964,6.34261636355432,10.0915205091248,-3.74890414557046,1.06972322203783e-162,2.74020300557211e-158
"24308","9",92970393,92970793,401,"*",8.99135533164773,5.77190810625197,9.91175397501629,-4.13984586876432,1.48708698856704e-128,1.90466101495667e-124
"13766","3",93843982,93844382,401,"*",8.70966760831952,5.63148496123211,9.62162276807528,-3.99013780684317,4.3759738601363e-116,3.73649821337505e-112
"24018","9",71793741,71794141,401,"*",8.35430898843356,5.00038993738147,9.28197265053443,-4.28158271315296,1.70689345939317e-104,1.09309457139539e-100
"23961","9",69307753,69308153,401,"*",8.12207135881593,4.54863666831773,9.0601675094371,-4.51153084111936,8.05295297155565e-90,4.12568886638739e-86
"12669","21",16891779,16892179,401,"*",8.14179617549456,5.11320225456676,9.05057303219114,-3.93737077762438,5.4950130495076e-76,2.2156529505788e-72
"21239","7",84277614,84278014,401,"*",8.27837613450657,5.75407807497313,9.14720168673717,-3.39312361176404,6.05464188556043e-76,2.2156529505788e-72
"22448","8",59683106,59683506,401,"*",7.86987140235958,4.65775846445923,8.78985288124907,-4.13209441678983,3.03731081167823e-72,9.72546921899368e-69
"5065","12",81888301,81888701,401,"*",7.69225778758183,3.61766505184732,8.64879726452566,-5.03113221267835,1.17083450772623e-68,3.33245519443501e-65
"23184","8",120970959,120971359,401,"*",7.95296677405726,5.22458405000266,8.83979389335582,-3.61520984335317,5.35516260526321e-66,1.37177845296422e-62
"2484","10",42790818,42791218,401,"*",7.4750901723258,3.53990394419991,8.42714645382678,-4.88724250962687,2.60801196224929e-63,6.07334858408889e-60
"7291","15",87369211,87369611,401,"*",7.87228049517717,4.59448041591857,8.79591957206319,-4.20143915614462,9.52095805005992e-62,2.03240717841946e-58
"23192","8",121129846,121130246,401,"*",8.08719482071444,5.15125526661769,8.98971186171882,-3.83845659510113,1.61092882146812e-60,3.1742732839021e-57
"3111","10",103231195,103231595,401,"*",7.84710587143717,5.11976649184833,8.73384781596332,-3.61408132411499,3.14090676035494e-59,5.746961969518e-56
"15433","4",49099129,49099529,401,"*",7.64281884231569,4.40223109189086,8.56440746875194,-4.16217637686108,5.54857206569771e-59,9.47548146899416e-56
"1651","1",207007355,207007755,401,"*",7.51087698390939,4.48644713409597,8.41938162105825,-3.93293448696227,3.70536206623467e-57,5.9322846680417e-54
"16528","5",9359160,9359560,401,"*",8.12940761666924,5.64211621778437,8.99466070808907,-3.3525444903047,5.96105983397304e-57,8.98226521806197e-54
"25103","X",46325422,46325822,401,"*",8.09513034767105,5.73409157139451,8.94740815270584,-3.21331658131133,1.15073789542319e-56,1.63762788495335e-53
"12574","20",60512492,60512892,401,"*",7.39904668327944,3.61949729126464,8.34553906580046,-4.72604177453582,2.62402349621044e-54,3.53773609889088e-51
"376","1",59128775,59129175,401,"*",8.10599134128849,5.92691394588985,8.93720631734544,-3.01029237145559,1.46234786526597e-53,1.87297514583265e-50
"17515","5",93078439,93078839,401,"*",8.0184029667933,5.41801474603076,8.89426627855918,-3.47625153252842,3.41848296245867e-53,4.16989807458768e-50
"25307","X",113400309,113400709,401,"*",7.23466093353905,3.77819723493773,8.16740525574614,-4.38920802080841,5.49934081898142e-53,6.40323247359218e-50
"15557","4",57187180,57187580,401,"*",7.94341230511178,5.62153571033662,8.79140348931855,-3.16986777898194,1.80040243554282e-51,2.00517864299413e-48
"16976","5",57837611,57838011,401,"*",7.38773924505665,4.3388815480707,8.29782893516433,-3.95894738709363,1.67700960061135e-50,1.78992824705251e-47
"15976","4",123986378,123986778,401,"*",7.29115362420564,3.40646279515006,8.24147238817132,-4.83500959302126,5.08157292988897e-50,5.20678288688143e-47
"13396","3",37936300,37936700,401,"*",7.70922756659212,4.86422330366413,8.60516817487651,-3.74094487121237,7.7428963304465e-50,7.6285397077199e-47
"5775","13",59448247,59448647,401,"*",7.40085528636838,4.71852394712704,8.28385872736565,-3.56533478023861,1.42199456198594e-48,1.34910417406785e-45
