"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007264","GO:0007264","small GTPase-mediated signal transduction","196/4047","491/18986",0.39918533604888,1.87272863608204,10.197740206529,2.27242546858026e-21,1.44139947472046e-17,1.05081737720769e-17,"2782/55160/65979/1718/1600/9077/117178/8412/9411/10451/79574/1435/5906/4803/4853/9826/50848/55103/27/23179/7042/3707/57568/1122/57584/3688/8829/221002/58504/9886/3988/51196/23268/8729/8036/57698/23075/22800/4925/27314/8301/143872/54734/5962/867/50937/9743/55200/2059/3845/121512/5908/4254/440107/3479/83892/54509/221178/90627/10253/5911/23348/22821/382/57381/26037/9101/84952/11214/1012/29/8844/57636/201176/406991/10672/201475/10928/6093/10982/220164/9710/23094/2909/10971/9475/388/25780/10602/6654/57142/55704/10617/9448/55843/390/11069/1123/10787/3685/10152/8452/55619/25791/54453/57186/6714/7052/57148/57580/55816/7074/6453/27128/9901/28512/50650/6091/8997/22808/5291/185/5912/5337/604/9353/399/83478/10144/2247/10252/79658/9693/7204/10769/64283/2149/2150/56990/51735/51306/81848/23092/1452/10146/1794/9750/23607/93663/57480/26230/2768/9265/5879/1124/9844/5898/64759/26053/1278/9732/4233/6009/157285/10395/23362/80005/5516/6386/10565/137735/51571/22898/81704/23189/7010/10507/89846/19/8727/286205/79109/9649/84253/25/2889/395/9367/23096/4983/1121/51209/154796/139818/90167/10251",196
"GO:0051056","GO:0051056","regulation of small GTPase mediated signal transduction","131/4047","300/18986",0.436666666666667,2.04856766328968,9.5281822346984,1.8371902638165e-18,5.82664892169404e-15,4.24777727839258e-15,"55160/117178/9411/10451/79574/1435/4803/4853/9826/50848/27/7042/3707/57568/57584/3688/8829/221002/58504/23268/8729/8036/23075/8301/143872/5962/867/50937/9743/55200/2059/3845/121512/4254/3479/83892/54509/221178/90627/10253/23348/22821/382/26037/84952/11214/29/57636/201176/406991/10672/10928/10982/23094/2909/6654/57142/10617/9448/55843/1123/3685/8452/55619/25791/57186/6714/7052/57148/57580/7074/6453/27128/9901/50650/6091/8997/5291/604/9353/83478/10144/10252/79658/7204/64283/2149/2150/56990/51306/81848/23092/1452/1794/9750/23607/93663/57480/26230/9265/5879/1124/64759/26053/4233/157285/10395/23362/5516/10565/137735/51571/22898/81704/23189/7010/10507/89846/19/286205/79109/9649/84253/25/395/23096/4983/154796/139818/90167/10251",131
"GO:0010975","GO:0010975","regulation of neuron projection development","175/4047","452/18986",0.38716814159292,1.81635145448065,9.14266797511525,1.25416701144084e-17,2.65172711785642e-14,1.93317743202092e-14,"23028/23499/84879/4898/1600/4919/57554/23566/2672/163404/5906/9860/1942/4921/55811/5396/26052/27/5362/2625/7431/8829/6387/22943/22891/818/5728/8036/57698/22876/627/4076/57689/25987/5058/120114/9638/5800/55605/57609/8499/10154/51761/23111/23077/5911/1948/5587/382/51199/26037/7337/4734/4756/27020/23251/3480/999/5376/26115/23327/5802/2909/238/57142/55704/1716/1496/3655/1123/4780/57520/10152/4133/2335/2043/25791/6616/9139/57580/5770/1002/7074/1826/83999/2033/8850/54986/22906/7474/5793/6092/6091/2042/2932/4690/170506/5274/5584/23043/22871/2049/9175/5062/952/9353/950/6696/10611/5530/84709/9693/55714/9037/1601/4131/8507/411/7025/1946/6695/1809/81545/84062/154141/653/55754/1268/5454/84816/2534/3066/10090/23345/26230/54664/23072/9863/10371/8321/57154/1523/4897/3475/91584/5764/673/2146/157285/11178/4747/2185/23303/4067/27067/11075/6383/23189/7436/5789/4915/10507/9314/4593/25/2889/6792/1756/7504/80258/407007/5063/57187/90167/2258",175
"GO:0032970","GO:0032970","regulation of actin filament-based process","152/4047","395/18986",0.384810126582278,1.80528911867831,8.41802366834012,3.25314235424547e-15,5.15867048824476e-12,3.76080377952641e-12,"2475/55160/4070/163782/5142/1901/2702/6281/50848/5999/55811/27/10092/6840/8829/6387/29119/59/120/23075/8048/9873/5058/5962/85458/83700/2059/93661/5318/11113/54509/10810/5587/1073/382/122786/51466/342184/29767/29766/84952/7168/4088/11214/23406/246/57551/85464/3690/406991/54828/3759/6093/4089/7040/2909/9475/375189/10602/130271/5581/6711/55704/27302/7840/6869/1496/8440/3552/23332/9839/390/129446/140469/10787/23671/10152/25791/8195/51126/57580/4771/4627/859/406929/7134/11170/2042/90102/4690/5217/26084/5290/5062/1739/118/683/9353/22998/5156/57482/2044/287/817/171024/27236/9037/5734/5144/5295/10788/2150/5921/1946/2241/11346/26999/4739/1906/55604/23607/93663/1490/58527/51429/5071/5879/5898/6717/10142/55971/857/4233/136319/673/10395/6781/2185/10565/27067/9788/51571/23189/25/395/7114/2824/5063/154796/10178/90167/2258",152
"GO:0007409","GO:0007409","axonogenesis","168/4047","459/18986",0.366013071895425,1.71710506128158,8.09464336031044,2.30859613057935e-14,2.92868505125296e-11,2.13508690560739e-11,"23499/4898/1600/23566/4853/1942/55811/23114/5362/55740/2625/3799/3688/8829/56288/6387/5592/288/84665/7414/5728/9211/57698/627/57689/5795/25987/5058/8301/53942/4684/1813/9638/334/5800/55605/144165/4753/57609/10154/59277/51761/9201/23111/23077/84189/1948/26257/51199/26037/51466/4756/3480/6477/1009/999/10939/4089/5802/2909/6868/10890/9637/6654/9378/57142/10678/1496/3800/4929/1123/65059/8828/8609/1385/4133/2335/2043/6616/23767/85449/9334/84612/1002/351/7074/1826/6285/27255/7155/22906/885/57408/7474/6092/6091/2042/214/91653/2596/2932/8997/2049/9175/5062/9353/886/323/7345/8929/2044/6696/658/8633/1909/23022/9037/7204/133418/345651/4131/64283/1946/57556/26999/1906/23607/5454/2534/3908/10090/26230/5879/2115/2737/107/26053/10512/9723/10371/223117/57154/4897/3475/5803/389549/91584/673/6469/4747/23303/137970/4147/2131/5747/4781/4915/10507/9355/25/6792/170302/7504/8239/4693/4983/5063/2258",168
"GO:0072001","GO:0072001","renal system development","130/4047","332/18986",0.391566265060241,1.83698470680349,8.00777233940451,7.31697420698668e-14,6.90931592196958e-11,5.0370694333932e-11,"10269/4070/4774/7482/3158/4853/5087/1063/7042/55083/2625/8829/80114/84159/8879/9231/59/51196/2674/847/23279/8772/282679/10413/79659/80310/7704/5800/144165/8549/317/8100/341640/1910/1948/652/384/342184/2200/8854/4643/9245/4091/4088/8826/23322/79191/9955/163/6928/3690/1636/6662/80000/4087/4092/4089/7040/6382/51057/27302/7849/4036/6772/2066/2043/8452/1286/26146/182/55959/9510/5155/5915/1499/7474/6092/185/25937/1739/57545/8842/9353/5156/5311/5530/255743/2028/2247/10252/4086/1909/170690/10409/25836/11174/79810/4208/26249/2246/654/1906/84062/6659/23607/7021/6492/639/10758/221322/56913/358/168667/2737/9863/5420/2146/6469/23213/50484/284/2131/9788/4609/55871/7010/5125/2650/203286/2719",130
"GO:0001822","GO:0001822","kidney development","127/4047","322/18986",0.394409937888199,1.85032544619356,8.00980397918746,7.62497421626787e-14,6.90931592196958e-11,5.0370694333932e-11,"10269/4070/7482/3158/4853/5087/1063/7042/55083/2625/8829/80114/84159/8879/9231/59/51196/2674/847/23279/8772/282679/10413/79659/80310/7704/5800/317/8100/341640/1910/1948/652/384/342184/2200/8854/4643/9245/4091/4088/8826/23322/79191/9955/163/6928/3690/1636/6662/80000/4087/4092/4089/7040/6382/51057/27302/7849/4036/6772/2066/2043/8452/1286/26146/182/55959/9510/5155/5915/1499/7474/6092/185/25937/1739/57545/8842/9353/5156/5311/5530/255743/2028/2247/10252/4086/1909/170690/10409/25836/11174/79810/4208/26249/2246/654/1906/84062/6659/23607/7021/6492/639/10758/221322/56913/358/168667/2737/9863/5420/2146/6469/23213/50484/284/2131/9788/4609/55871/7010/5125/2650/203286/2719",127
"GO:0002064","GO:0002064","epithelial cell development","94/4047","219/18986",0.429223744292237,2.01365011345007,7.85278745730054,4.20639585792209e-13,3.33514611584998e-10,2.43140750050681e-10,"5906/4853/50848/51742/7431/7414/59/406/10413/23086/5962/81029/5908/22862/688/1910/122786/652/3091/4643/8826/1003/388364/6662/6093/1000/5802/23094/7040/9475/6382/2355/2034/389015/3552/3553/57669/29842/7852/2487/10152/26154/23236/182/631/3642/6714/80781/5155/5915/2876/7474/2317/9223/2932/8419/51421/26084/8626/9076/118/3791/9575/10855/1909/9693/23022/2195/5144/2150/2241/3295/654/25803/653/639/6098/2697/2099/4301/56913/9863/1021/4233/5420/6009/6781/79977/1761/5991/1903/2889/4478/367",94
"GO:0045785","GO:0045785","positive regulation of cell adhesion","175/4047","499/18986",0.350701402805611,1.64527225936925,7.60275834251206,5.38716385795766e-13,3.79675337233616e-10,2.76793109099509e-10,"2475/8289/5724/10076/3716/3491/7412/10451/1435/79679/6281/50848/6375/6401/22920/8995/7292/27/3915/5788/7042/3142/11221/3707/57829/55083/2625/54518/8829/6387/288/9806/960/7189/51144/5795/8772/472/3606/7704/6484/2113/160365/22914/4254/3479/6541/3146/8600/3356/1948/342184/84978/7168/4088/29117/865/10725/463/1012/246/6347/3690/8631/406991/5578/84034/6093/4092/970/7040/5212/5581/9655/9448/8440/3987/3552/3553/57669/406915/1803/3655/3685/940/29851/2335/3485/2043/54453/6714/7052/57580/5105/861/5155/2033/7048/55193/7474/9223/1295/25890/64332/11148/151887/2932/4690/9435/3592/5290/86/604/4976/399/3791/10563/5530/255743/3558/59067/4651/3575/133584/1601/56477/8546/10085/84466/81545/8728/2651/4739/9308/6659/55604/2309/2534/3908/10370/7402/57492/4301/9265/5879/10551/3569/2737/7784/948/1021/3912/857/5420/673/6469/80005/2185/3084/59339/8754/4067/8767/284/51571/81704/6595/3717/80380/7010/6461/301/2650/25/25975",175
"GO:0031589","GO:0031589","cell-substrate adhesion","135/4047","361/18986",0.373961218836565,1.75439280969385,7.53206639962038,1.38143486991361e-12,8.76244137986202e-10,6.38804566687419e-10,"23499/4070/3491/7412/1435/8394/6281/1942/3915/3688/8829/9806/5328/7414/5728/10580/1308/55742/960/51144/5795/7007/83700/7450/5800/5318/8499/59277/23603/9358/22795/342184/7057/302/4091/4088/22801/79834/1009/1012/246/3690/8631/6093/81/4059/9475/5212/5581/11037/51057/84168/9448/3987/10461/57669/23332/3694/3655/3685/8324/2335/182/54453/6714/57580/5770/7074/4771/5155/3680/1499/11170/56999/2042/1295/25890/90102/151887/2932/3693/5291/2049/6480/604/4585/683/22998/3791/10855/255743/81792/133584/1601/56477/3672/5295/10085/5921/1946/2241/6695/81848/2651/4739/55604/5796/1490/7402/5879/10551/3696/948/9723/1021/8910/5054/3912/4289/673/10395/80005/2185/59339/8754/284/5747/23189/3717/7010/25/395/25975/2824/8573",135
