"seqnames","start","end","width","strand","Conc","Conc_TEAD1","Conc_TESmut","Fold","p.value","FDR"
"X",140723281,140723681,401,"*",9.23854322340167,6.87100069116463,10.0915205091248,-3.1501828164215,4.12500328989511e-63,1.54774248440155e-58
"8",73202790,73203190,401,"*",7.95798382405602,8.79087841968964,5.7653014393255,2.95076929193916,4.16706605220241e-57,7.81762426723434e-53
"15",63107949,63108349,401,"*",9.65576142080314,10.3766959329979,8.1483864164001,2.19117239702148,1.28502079356769e-53,1.49849002483042e-49
"1",23196916,23197316,401,"*",7.8250686462476,8.67098460804827,5.52173520545494,3.04157701128176,1.59749476275197e-53,1.49849002483042e-49
"7",141585984,141586384,401,"*",8.92911285605767,9.6663899276789,7.34259195854372,2.26889161900393,5.73076792348098e-46,4.3004828651386e-42
"17",59756387,59756787,401,"*",8.32758681446816,9.02965357142534,6.90547753256156,2.07512360603313,2.44925112430036e-43,1.53163919058123e-39
"7",22561274,22561674,401,"*",7.51124689885512,8.39411119753396,4.83056168614904,3.4594420169734,5.73785911459064e-43,3.05780029182812e-39
"1",231139971,231140371,401,"*",8.20111888562747,8.9995951173225,6.26178526308359,2.67963040581381,6.51965628171556e-43,3.05780029182812e-39
"17",19327025,19327425,401,"*",8.65899916628717,9.34558878004888,7.30248826132619,2.00508529198408,4.43114944200662e-42,1.84734620237256e-38
"20",33909552,33909952,401,"*",8.20942183519236,8.93742158504419,6.66847133361112,2.218202153458,1.71686554531345e-41,6.4418512125706e-38
"9",18490662,18491062,401,"*",7.49537206980219,8.30292780765215,5.49396557603958,2.74488535354299,2.81965036576221e-41,9.61782739761491e-38
"12",64088419,64088819,401,"*",6.7236874767834,7.61839904670696,3.89501585628957,3.54959549490556,4.44112284130226e-41,1.38862808440419e-37
"20",34017639,34018039,401,"*",7.35955289953075,8.1845739372954,5.2294345911413,2.85735170522665,9.02040037278281e-41,2.60349571067064e-37
"6",149026542,149026942,401,"*",7.21550328753159,8.0135516191537,5.279020759683,2.67128550504272,1.18476338659546e-40,3.17525050203202e-37
"4",76590200,76590600,401,"*",8.3139542853103,9.03818939170246,6.79101181044399,2.18554448929137,3.0175558696718e-40,7.54811425239705e-37
"5",171667808,171668208,401,"*",7.52837803666986,8.32873637675785,5.57642646877645,2.6765964342083,3.48337489236615e-40,8.16873183352939e-37
"7",133853672,133854072,401,"*",8.26891053567338,8.93071135062316,7.01029153325551,1.87682636979771,1.1241751296019e-39,2.481186766929e-36
"12",116426397,116426797,401,"*",7.39078444402956,8.1604200302451,5.63035797035371,2.46104228083078,8.85949520343229e-39,1.84676177515546e-35
"1",41496203,41496603,401,"*",6.58130546902711,7.50532664479387,3.2964576013869,3.96458950501491,1.19400415099718e-38,2.35790682892448e-35
"19",47122384,47122784,401,"*",8.05835420537515,8.78414698628601,6.52799358905174,2.19719370595287,1.38399910960968e-38,2.59645152958323e-35
"6",105608913,105609313,401,"*",8.61401832146143,9.41211153905633,6.67723702279272,2.64270908060899,1.2475945737765e-36,2.2290950477461e-33
