"seqnames","start","end","width","strand","Conc","Conc_TES","Conc_TEAD1","Fold","p.value","FDR"
"15",63107949,63108349,401,"*",9.46623228652094,6.41154663660298,10.3766959329979,-3.86340763275482,4.55404952007938e-133,1.77767323016299e-128
"17",19327025,19327425,401,"*",8.37988090212299,3.96802342523322,9.34558878004888,-5.27315386038468,3.33321998344466e-132,6.50561210268812e-128
"7",141585984,141586384,401,"*",8.74162230163711,5.44290062818576,9.6663899276789,-4.08480274990775,2.8274679139736e-110,3.67900700073199e-106
"4",76590200,76590600,401,"*",8.08498537637763,4.11541281133761,9.03818939170246,-4.72771434931497,4.73972662970536e-106,4.62538072476372e-102
"21",43586021,43586421,401,"*",8.32612904813721,4.89060928571283,9.25786624667495,-4.30953001578428,8.89787405975801e-106,6.94657027845308e-102
"14",54652183,54652583,401,"*",7.98615919450876,4.37680329137375,8.92580993347283,-4.41867963808024,1.23902404125731e-104,8.06088390841316e-101
"8",121129845,121130245,401,"*",8.78242356892784,5.15125526661769,9.72299878864661,-4.37440547133383,5.93644980217975e-104,3.31041882897267e-100
"17",66467006,66467406,401,"*",8.05109015190047,4.02574786469495,9.00609658976355,-4.73366509706365,1.03124663698509e-103,5.03183905933912e-100
"13",44719942,44720342,401,"*",8.298634141126,4.39638684075282,9.24956416016358,-4.62175521670532,4.34546516695259e-103,1.88472480879994e-99
"17",694220,694620,401,"*",8.57478072429717,5.12063556269742,9.50741430856212,-4.19997089451163,2.26597670105486e-102,8.84524005256766e-99
"13",59448247,59448647,401,"*",7.92109662635795,4.71852394712704,8.84053210265089,-4.13877980325779,1.88028481773731e-100,6.67244707821599e-97
"20",60512492,60512892,401,"*",7.7210975955308,3.61949729126464,8.6784551264149,-4.72411972381302,2.09703450472356e-97,6.82147849099034e-94
"10",103231197,103231597,401,"*",8.27017475002404,5.11976649184833,9.18655628236015,-4.02462314465115,1.0482720822798e-96,3.14763851783016e-93
"19",47122384,47122784,401,"*",7.83103571147879,3.86427333799629,8.78414698628601,-4.68393243852442,6.518982193295e-96,1.81763192796622e-92
"1",207007355,207007755,401,"*",7.98388924499783,4.48644713409597,8.91856033132673,-4.37080369674164,2.18472312603063e-93,5.68537781497372e-90
"X",46325687,46326087,401,"*",8.04357742018527,4.62940950883988,8.97427197760277,-4.16001137300351,7.60609589215225e-93,1.85564970718852e-89
